Year,Month,Bitcoin Price ($),Change ($),Month-over-month (%)
2021,10,48162.71,-678.26,-1.39
2021,9,48840.96,8958.58,22.46
2021,8,39882.39,6357.40,18.96
2021,7,33524.98,-3156.76,-8.61
2021,6,36681.74,-21154.26,-36.58
2021,5,57836.01,-890.68,-1.52
2021,4,58726.68,9107.04,18.35
2021,3,49619.64,16075.87,47.93
2021,2,33543.77,4151.99,14.13
2021,1,29391.78,10596.58,56.38
2020,12,18795.20,5032.23,36.56
2020,11,13762.97,3136.37,29.51
2020,10,10626.60,-1337.61,-11.18
2020,9,11964.21,610.05,5.37
2020,8,11354.16,2200.21,24.04
2020,7,9153.95,-411,-4.30
2020,6,9564.95,793.38,9.04
2020,5,8771.57,2099.62,31.47
2020,4,6671.95,-1868.31,-21.88
2020,3,8540.26,-848.41,-9.04
2020,2,9388.66,2200.20,30.61
2020,1,7188.46,-232.38,-3.13
2019,12,7420.84,-1844.59,-19.91
2019,11,9265.43,938.85,11.28
2019,10,8326.58,-1446.76,-14.80
2019,9,9773.34,-631.86,-6.07
2019,8,10405.21,-194.12,-1.83
2019,7,10599.33,2046.20,23.92
2019,6,8553.13,3129.47,57.70
2019,5,5423.66,1267.27,30.49
2019,4,4156.39,306.32,7.96
2019,3,3850.07,381.82,11.01
2019,2,3468.25,-401.22,-10.37
2019,1,3869.47,-296.14,-7.11
2018,12,4165.61,-2192.79,-34.49
2018,11,6358.40,-220.39,-3.35
2018,10,6578.79,-613.50,-8.53
2018,9,7192.30,-411.45,-5.41
2018,8,7603.75,1255.89,19.78
2018,7,6347.86,-1170.39,-15.57
2018,6,7518.25,-1549.47,-17.09
2018,5,9067.72,2250.98,33.02
2018,4,6816.74,-4090.85,-37.50
2018,3,10907.59,1855.01,20.49
2018,2,9052.58,-4359.86,-32.51
2018,1,13412.44,2552.88,23.51
2017,12,10859.56,4109.39,60.88
2017,11,6750.17,2355.53,53.60
2017,10,4394.64,-556.08,-11.23
2017,9,4950.72,2215.14,80.97
2017,8,2735.59,275.39,11.19
2017,7,2460.20,8.02,0.33
2017,6,2452.18,1050.10,74.90
2017,5,1402.08,312.57,28.69
2017,4,1089.51,-140.51,-11.42
2017,3,1230.02,242.67,24.58
2017,2,987.35,-10.34,-1.04
2017,1,997.69,244.43,32.45
2016,12,753.26,23.98,3.29
2016,11,729.27,115.34,18.79
2016,10,613.93,42.24,7.39
2016,9,571.69,-35.68,-5.87
2016,8,607.37,-69.15,-10.22
2016,7,676.52,140.10,26.12
2016,6,536.42,83.38,18.40
2016,5,453.04,36.03,8.64
2016,4,417.01,-16.63,-3.83
2016,3,433.64,62.39,16.81
2016,2,371.25,-63.22,-14.55
2016,1,434.46,71.73,19.78
2015,12,362.73,37.65,11.58
2015,11,325.08,87.51,36.84
2015,10,237.57,10.22,4.50
2015,9,227.35,-52.69,-18.82
2015,8,280.04,22.38,8.68
2015,7,257.66,34.35,15.38
2015,6,223.31,-8.82,-3.80
2015,5,232.12,-14.43,-5.85
2015,4,246.55,-12.19,-4.71
2015,3,258.74,32.35,14.29
2015,2,226.40,-87.53,-27.88
2015,1,313.92,-64.72,-17.09
2014,12,378.64,53.26,16.37
2014,11,325.39,-55.95,-14.67
2014,10,381.33,-92.80,-19.57
2014,9,474.13,-120.95,-20.32
2014,8,595.08,-40.51,-6.37
2014,7,635.59,6.57,1.04
2014,6,629.02,172.76,37.86
2014,5,456.27,-22.45,-4.69
2014,4,478.72,-85.02,-15.08
2014,3,563.74,-289.28,-33.91
2014,2,853.02,82.58,10.72
2014,1,770.44,-176.49,-18.64
2013,12,946.92,748.41,377.02
2013,11,198.51,73.02,58.18
2013,10,125.49,-2.77,-2.16
2013,9,128.26,31.84,33.03
2013,8,96.42,11.81,13.96
2013,7,84.61,-44.69,-34.57
2013,6,129.30,12.92,11.10
2013,5,116.38,12.38,11.90
2013,4,104,69.50,201.45
2013,3,34.50,14,68.30
2013,2,20.50,7.19,54.08
2013,1,13.30,0.74,5.91
2012,12,12.56,1.99,18.85
2012,11,10.57,-1.83,-14.76
2012,10,12.40,2.43,24.43
2012,9,9.97,0.42,4.35
2012,8,9.55,2.92,44.07
2012,7,6.63,1.35,25.67
2012,6,5.27,0.27,5.50
2012,5,5,0.17,3.58
2012,4,4.83,-0.09,-1.92
2012,3,4.92,-1.15,-19
2012,2,6.08,0.81,15.34
2012,1,5.27,2.21,72.15
2011,12,3.06,-0.09,-2.86
2011,11,3.15,-1.88,-37.41
2011,10,5.03,-3.18,-38.70
2011,9,8.21,-4.88,-37.30
2011,8,13.09,-2.30,-14.95
2011,7,15.40,5.83,60.89
2011,6,9.57,6.54,215.52
2011,5,3.03,2.26,291.82
2011,4,0.77,-0.15,-15.88
2011,3,0.92,0.22,31.46
2011,2,0.70,0.40,133.33
2011,1,0.30,0.07,31.87
2010,12,0.23,0.03,16.37
2010,11,0.20,0.13,215.32
2010,10,0.06,0,-1.43
2010,9,0.06,0,2.95
2010,8,0.06,-0.02,-28.79
2010,7,0.09,0,0
